증상,제품명,효능,복용법
화상,성광멸균바세린거즈,이 약은 경미한 화상 및 상처에 사용합니다.,1일 1~2회 환부의 크기에 따라 적당히 절단하여 환부에 부착합니다.
화상,미보,이 약은 화상 또는 상처에 사용합니다.,1일 2~3회 상처부위에 얇게 바릅니다.
화상,쎄레스톤지크림,"이 약은 2차 감염된 알레르기성 또는 염증성 피부질환 (습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진(피부스침증), 박탈피부염, 가려움, 건선(마른비늘증)), 1도 화상에 사용합니다.",1일 1~3회 환부(질환분위)에 적당량을 바릅니다.
화상,안국니트로푸라존연고,이 약은 화상 또는 외상에 의한 2차 세균감염에 사용합니다.,1일 1~3회 적당량을 환부에 바르고 증상에 따라 적절히 증감합니다.
화상,태극아즈렌에스연고,"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.
화상,포타딘액,"이 약은 찢긴 상처, 화상, 창상(상처), 욕창의 살균소독, 궤양, 농양(고름집)의 살균소독, 감염피부면의 소독, 수술 부위의 살균소독, 주사 및 카테터부위의 소독에 사용합니다.",1일 수회(여러 차례) 환부(질환 부위)에 적당량을 바릅니다.
화상,리렌스연고,"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.
화상,태극아즈렌에스크림,"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.
화상,큐앤큐바셀린윤나거즈,이 약은 경미한 화상 및 절상에 사용합니다.,크기에 따라 적당히 절단하여 1일 1~2회 국소부위에 붙입니다.
화상,후시딘연고,"이 약은 포도구균, 연쇄구균, 코리네박테륨, 클로스트리듐으로 인한 농가진, 감염성습진양피부염, 심상성여드름(보통여드름), 모낭염, 종기 및 종기증, 화농성한선염, 농가진성습진, 화상ㆍ외상ㆍ봉합창ㆍ식피창에 의한 2차 감염에 사용합니다.",환부를 깨끗이 하고 1일 1~2회 적당량을 환부에 직접 바르거나 무균거즈에 넓게 펴발라 붙입니다.1주 정도로 투여기간을 제한합니다.두껍게 바르지 않습니다.
호흡기질환 ,엘도스캡슐,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
호흡기질환 ,엘도란트캡슐,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
호흡기질환 ,엘펙트캡슐,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
호흡기질환 ,알도스텐캡슐300밀리그램,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
